name1,name2
Sirius Black,Albus Dumbledore
Sirius Black,Hermione Granger
Sirius Black,Remus Lupin
Sirius Black,Minerva McGonagall
Sirius Black,Harry Potter
Sirius Black,James Potter
Sirius Black,Lily Potter
Sirius Black,Nymphadora Tonks
Sirius Black,Arthur Weasley
Sirius Black,Fred Weasley
Sirius Black,George Weasley
Sirius Black,Ginny Weasley
Sirius Black,Ron Weasley
Lavender Brown,Neville Longbottom
Lavender Brown,Ron Weasley
Cho Chang,Cedric Diggory
Cho Chang,Seamus Finnigan
Cho Chang,Hermione Granger
Cho Chang,Neville Longbottom
Cho Chang,Harry Potter
Cho Chang,Ron Weasley
Vincent Crabbe,Gregory Goyle
Vincent Crabbe,Draco Malfoy
Fleur Delacour,Hermione Granger
Fleur Delacour,Neville Longbottom
Fleur Delacour,Harry Potter
Fleur Delacour,Bill Weasley
Fleur Delacour,Ginny Weasley
Fleur Delacour,Molly Weasley
Fleur Delacour,Ron Weasley
Cedric Diggory,Cho Chang
Cedric Diggory,Harry Potter
Albus Dumbledore,Sirius Black
Albus Dumbledore,Hermione Granger
Albus Dumbledore,Rubeus Hagrid
Albus Dumbledore,Remus Lupin
Albus Dumbledore,Minerva McGonagall
Albus Dumbledore,Minerva McGonagall
Albus Dumbledore,Harry Potter
Albus Dumbledore,James Potter
Albus Dumbledore,Lily Potter
Albus Dumbledore,Severus Snape
Albus Dumbledore,Arthur Weasley
Albus Dumbledore,Bill Weasley
Albus Dumbledore,Charlie Weasley
Albus Dumbledore,Fred Weasley
Albus Dumbledore,George Weasley
Albus Dumbledore,Ginny Weasley
Albus Dumbledore,Molly Weasley
Albus Dumbledore,Percy Weasley
Albus Dumbledore,Ron Weasley
Dudley Dursley,Dudley Dursley
Dudley Dursley,Vernon Dursley
Petunia Dursley,Dudley Dursley
Petunia Dursley,Petunia Dursley
Vernon Dursley,Dudley Dursley
Vernon Dursley,Petunia Dursley
Argus Filch,Albus Dumbledore
Argus Filch,Severus Snape
Seamus Finnigan,Lavender Brown
Seamus Finnigan,Cho Chang
Seamus Finnigan,Hermione Granger
Seamus Finnigan,Neville Longbottom
Seamus Finnigan,Luna Lovegood
Seamus Finnigan,Harry Potter
Seamus Finnigan,Ginny Weasley
Seamus Finnigan,Ron Weasley
Nicolas Flamel,Albus Dumbledore
Cornelius Fudge,Lucius Malfoy
Cornelius Fudge,Percy Weasley
Goyle Sr.,Gregory Goyle
Goyle Sr.,Lord Voldemort
Gregory Goyle,Goyle Sr.
Gregory Goyle,Vincent Crabbe
Gregory Goyle,Draco Malfoy
Gregory Goyle,Lord Voldemort
Hermione Granger,Harry Potter
Hermione Granger,Ron Weasley
Hermione Granger,George Weasley
Hermione Granger,Molly Weasley
Hermione Granger,Severus Snape
Hermione Granger,Luna Lovegood
Hermione Granger,Neville Longbottom
Rubeus Hagrid,Fluffy
Rubeus Hagrid,Aragog
Rubeus Hagrid,Grawp
Rubeus Hagrid,Ron Weasley
Rubeus Hagrid,Hermione Granger
Rubeus Hagrid,Severus Snape
Rubeus Hagrid,Harry Potter
Rubeus Hagrid,Neville Longbottom
Rubeus Hagrid,Olympe Maxime
Rubeus Hagrid,Minerva McGonagall
